tol:0.00186+-0.00448i 0.002+-0.00481i 
er:-0.000113+0.000113i -0.0106+0.0106i 
tol:0.00185+-0.00447i 0.002+-0.00482i 
er:-6.04e-05+6.04e-05i -0.00769+0.00769i 
tol:0.00185+-0.00446i 0.002+-0.00482i 
er:-3.78e-05+3.78e-05i -0.00607+0.00607i 
tol:0.00185+-0.00446i 0.002+-0.00482i 
er:-2.66e-05+2.66e-05i -0.00509+0.00509i 
tol:0.00185+-0.00446i 0.002+-0.00482i 
er:-2.04e-05+2.04e-05i -0.00446+0.00446i 
tol:0.00185+-0.00445i 0.002+-0.00483i 
er:-1.68e-05+1.68e-05i -0.00404+0.00404i 
tol:0.00185+-0.00445i 0.002+-0.00483i 
er:-1.45e-05+1.45e-05i -0.00375+0.00375i 
tol:0.00184+-0.00445i 0.002+-0.00483i 
er:-1.3e-05+1.3e-05i -0.00355+0.00355i 
tol:0.00185+-0.00447i 0.002+-0.00483i 
er:-2.73e-05+2.73e-05i -0.00342+0.00342i 
tol:0.00186+-0.00449i 0.002+-0.00483i 
er:-4.05e-05+4.05e-05i -0.00333+0.00333i 
tol:0.00187+-0.00451i 0.002+-0.00483i 
er:-5.28e-05+5.28e-05i -0.00326+0.00326i 
tol:0.00188+-0.00453i 0.002+-0.00483i 
er:-6.47e-05+6.47e-05i -0.00321+0.00321i 
tol:0.00189+-0.00455i 0.002+-0.00483i 
er:-7.61e-05+7.61e-05i -0.00318+0.00318i 
tol:0.00189+-0.00457i 0.002+-0.00483i 
er:-8.74e-05+8.74e-05i -0.00315+0.00315i 
tol:0.0019+-0.00459i 0.002+-0.00483i 
er:-9.84e-05+9.84e-05i -0.00313+0.00313i 
tol:0.00191+-0.0046i 0.002+-0.00483i 
er:-0.000109+0.000109i -0.00311+0.00311i 
tol:0.00192+-0.00462i 0.002+-0.00483i 
er:-0.00012+0.00012i -0.0031+0.0031i 
tol:0.00192+-0.00464i 0.002+-0.00483i 
er:-0.000131+0.000131i -0.00309+0.00309i 
tol:0.00193+-0.00466i 0.002+-0.00483i 
er:-0.000142+0.000142i -0.00308+0.00308i 
tol:0.00194+-0.00467i 0.002+-0.00483i 
er:-0.000152+0.000152i -0.00308+0.00308i 
tol:0.00194+-0.00469i 0.002+-0.00483i 
er:-0.000163+0.000163i -0.00307+0.00307i 
tol:0.00195+-0.00471i 0.002+-0.00483i 
er:-0.000173+0.000173i -0.00307+0.00307i 
tol:0.00196+-0.00473i 0.002+-0.00483i 
er:-0.000183+0.000183i -0.00307+0.00307i 
tol:0.00197+-0.00474i 0.002+-0.00483i 
er:-0.000194+0.000194i -0.00306+0.00306i 
tol:0.00197+-0.00476i 0.002+-0.00483i 
er:-0.000204+0.000204i -0.00306+0.00306i 
tol:0.00198+-0.00478i 0.002+-0.00483i 
er:-0.000214+0.000214i -0.00306+0.00306i 
tol:0.00199+-0.0048i 0.002+-0.00483i 
er:-0.000224+0.000224i -0.00306+0.00306i 
tol:0.00199+-0.00481i 0.002+-0.00483i 
er:-0.000234+0.000234i -0.00306+0.00306i 
tol:0.002+-0.00483i 0.002+-0.00483i 
er:-0.000244+0.000244i -0.00306+0.00306i 
tol:0.00201+-0.00485i 0.002+-0.00483i 
er:-0.000254+0.000254i -0.00306+0.00306i 
tol:0.00201+-0.00486i 0.002+-0.00483i 
er:-0.000264+0.000264i -0.00306+0.00306i 
tol:0.00202+-0.00488i 0.002+-0.00483i 
er:-0.000274+0.000274i -0.00306+0.00306i 
tol:0.00203+-0.0049i 0.002+-0.00483i 
er:-0.000283+0.000283i -0.00306+0.00306i 
tol:0.00204+-0.00491i 0.002+-0.00483i 
er:-0.000293+0.000293i -0.00306+0.00306i 
tol:0.00204+-0.00493i 0.002+-0.00483i 
er:-0.000302+0.000302i -0.00306+0.00306i 
tol:0.00205+-0.00495i 0.002+-0.00483i 
er:-0.000312+0.000312i -0.00306+0.00306i 
tol:0.00206+-0.00496i 0.002+-0.00483i 
er:-0.000321+0.000321i -0.00306+0.00306i 
tol:0.00206+-0.00498i 0.002+-0.00483i 
er:-0.000331+0.000331i -0.00306+0.00306i 
tol:0.00207+-0.00499i 0.002+-0.00483i 
er:-0.00034+0.00034i -0.00305+0.00305i 
tol:0.00208+-0.00501i 0.002+-0.00483i 
er:-0.000349+0.000349i -0.00305+0.00305i 
tol:0.00208+-0.00503i 0.002+-0.00483i 
er:-0.000359+0.000359i -0.00305+0.00305i 
tol:0.00209+-0.00504i 0.002+-0.00483i 
er:-0.000368+0.000368i -0.00305+0.00305i 
tol:0.0021+-0.00506i 0.002+-0.00483i 
er:-0.000377+0.000377i -0.00305+0.00305i 
